STNAM,FIPST,LEAID,LEANM,NCESSCH,SCHNAM,ALL_COHORT_1516,ALL_RATE_1516,MAM_COHORT_1516,MAM_RATE_1516,MAS_COHORT_1516,MAS_RATE_1516,MBL_COHORT_1516,MBL_RATE_1516,MHI_COHORT_1516,MHI_RATE_1516,MTR_COHORT_1516,MTR_RATE_1516,MWH_COHORT_1516,MWH_RATE_1516,CWD_COHORT_1516,CWD_RATE_1516,ECD_COHORT_1516,ECD_RATE_1516,LEP_COHORT_1516,LEP_RATE_1516,DATE_CUR
MINNESOTA,27,2791455,WEST CENTRAL EDUCATION DISTRICT,279145502388,WEST CENTRAL AREA LEARNING CENTER,24,21-39,.,.,.,.,.,.,6,LT50,.,.,18,40-59,3,PS,15,LT50,4,PS,01JUL17
MINNESOTA,27,2791456,PERPICH CENTER FOR ARTS EDUCATION,279145602410,PERPICH CENTER FOR ARTS EDUCATION,103,GE95,4,PS,2,PS,10,GE50,7,GE50,.,.,80,GE95,7,GE50,18,GE80,.,.,01JUL17
MISSISSIPPI,28,2800001,MISSISSIPPI STATE HOSPITAL,280000100714,LAKESIDE SCHOOL,12,LT50,.,.,.,.,8,LT50,,,1,PS,3,PS,8,LT50,8,LT50,.,.,01JUL17
MISSISSIPPI,28,2800003,MAGNOLIA GROVE SCHOOL,280000300919,MAGNOLIA GROVE SCHOOL,5,PS,.,.,.,.,2,PS,.,.,,,3,PS,2,PS,2,PS,.,.,01JUL17
MISSISSIPPI,28,2800031,MS SCHOOL FOR THE ARTS,280003101574,MS SCHOOL FOR THE ARTS,40,GE90,1,PS,.,.,12,GE50,1,PS,.,.,26,GE80,.,.,20,GE80,.,.,01JUL17
MISSISSIPPI,28,2800183,ROGER AMOS MCMURTRY ADM,280018301317,ROGER AMOS MCMURTRY SCHOOL,14,LT50,.,.,.,.,3,PS,1,PS,.,.,8,LT50,5,PS,12,LT50,.,.,01JUL17
MISSISSIPPI,28,2800185,WEST BOLIVAR CONS SCH,280018501401,WEST BOLIVAR DIST HIGH SCHOOL,29,GE80,.,.,.,.,28,GE80,.,.,.,.,1,PS,3,PS,28,GE80,.,.,01JUL17
MISSISSIPPI,28,2800185,WEST BOLIVAR CONS SCH,280018501402,RAY BROOKS SCHOOL,11,GE50,.,.,.,.,11,GE50,.,.,.,.,.,.,1,PS,11,GE50,.,.,01JUL17
MISSISSIPPI,28,2800185,WEST BOLIVAR CONS SCH,280018501419,SHAW HIGH SCHOOL,20,GE80,.,.,.,.,19,GE80,1,PS,.,.,.,.,1,PS,20,GE80,.,.,01JUL17
MISSISSIPPI,28,2800186,NORTH BOLIVAR CONS SCH,280018601405,JOHN F KENNEDY MEMORIAL HI SCHOOL,24,GE80,.,.,.,.,24,GE80,.,.,.,.,.,.,1,PS,23,GE80,.,.,01JUL17
MISSISSIPPI,28,2800186,NORTH BOLIVAR CONS SCH,280018601411,BROAD STREET HIGH SCHOOL,20,60-79,.,.,.,.,20,60-79,.,.,.,.,.,.,3,PS,20,60-79,.,.,01JUL17
MISSISSIPPI,28,2800187,SUNFLOWER CO CONSOLIDATE SCH DIST,280018701422,RULEVILLE CENTRAL HIGH SCHOOL,45,70-79,.,.,.,.,44,70-79,,,.,.,1,PS,6,LT50,44,70-79,,,01JUL17
MISSISSIPPI,28,2800187,SUNFLOWER CO CONSOLIDATE SCH DIST,280018701425,GENTRY HIGH SCHOOL,76,80-84,.,.,1,PS,73,80-84,,,.,.,2,PS,5,PS,73,80-84,.,.,01JUL17
MISSISSIPPI,28,2800189,STARKVILLE- OKTIBBEHA CONS SD,280018901451,STARKVILLE HIGH SCHOOL,88,85-89,.,.,1,PS,62,80-84,1,PS,.,.,24,GE80,9,LT50,58,80-89,,,01JUL17
MISSISSIPPI,28,2800191,WEST POINT CONSOLIDATED SCHOOL DIST,280019101441,WEST POINT HIGH SCHOOL,56,GE90,.,.,,,48,GE90,,,.,.,8,GE50,5,PS,55,GE90,,,01JUL17
MISSISSIPPI,28,2800360,ABERDEEN SCHOOL DIST,280036000009,ABERDEEN HIGH SCHOOL,88,80-84,.,.,.,.,81,80-84,1,PS,1,PS,4,PS,11,LT50,83,85-89,.,.,01JUL17
MISSISSIPPI,28,2800390,ALCORN SCHOOL DIST,280039000018,ALCORN CENTRAL HIGH SCHOOL,118,90-94,.,.,.,.,.,.,.,.,.,.,118,90-94,7,GE50,36,80-89,.,.,01JUL17
MISSISSIPPI,28,2800390,ALCORN SCHOOL DIST,280039000020,KOSSUTH HIGH SCHOOL,116,90-94,.,.,.,.,1,PS,1,PS,5,PS,109,90-94,5,PS,33,80-89,.,.,01JUL17
MISSISSIPPI,28,2800390,ALCORN SCHOOL DIST,280039001152,BIGGERSVILLE HIGH SCHOOL,35,80-89,.,.,.,.,9,GE50,.,.,2,PS,24,GE80,2,PS,20,GE80,.,.,01JUL17
MISSISSIPPI,28,2800420,AMITE CO SCHOOL DIST,280042000027,AMITE COUNTY HIGH SCHOOL,73,80-84,.,.,.,.,63,80-84,.,.,.,.,10,GE50,11,LT50,72,80-84,.,.,01JUL17
MISSISSIPPI,28,2800450,AMORY SCHOOL DIST,280045000029,AMORY HIGH SCHOOL,106,80-84,1,PS,.,.,32,70-79,.,.,1,PS,72,85-89,10,LT50,50,60-69,.,.,01JUL17
MISSISSIPPI,28,2800510,ATTALA CO SCHOOL DIST,280051000036,ETHEL ATTENDANCE CENTER,39,60-69,.,.,.,.,11,GE50,.,.,.,.,28,60-79,6,LT50,27,40-59,.,.,01JUL17
MISSISSIPPI,28,2800510,ATTALA CO SCHOOL DIST,280051000039,MCADAMS ATTENDANCE CENTER,34,80-89,.,.,.,.,34,80-89,.,.,.,.,,,3,PS,34,80-89,.,.,01JUL17
MISSISSIPPI,28,2800540,BALDWYN SCHOOL DISTRICT,280054000042,BALDWYN HIGH SCHOOL,52,GE90,.,.,.,.,26,GE80,.,.,1,PS,25,GE80,2,PS,35,80-89,.,.,01JUL17
MISSISSIPPI,28,2800570,BAY ST LOUIS WAVELAND SCHOOL DIST,280057000045,BAY HIGH SCHOOL,126,80-84,.,.,1,PS,27,GE80,3,PS,1,PS,94,80-84,19,21-39,84,80-84,.,.,01JUL17
MISSISSIPPI,28,2800600,BENTON CO SCHOOL DIST,280060000049,ASHLAND HIGH SCHOOL,44,80-89,.,.,.,.,39,GE90,2,PS,.,.,3,PS,5,PS,40,80-89,2,PS,01JUL17
MISSISSIPPI,28,2800600,BENTON CO SCHOOL DIST,280060000050,HICKORY FLAT ATTENDANCE CENTER,47,80-89,.,.,.,.,8,GE50,,,.,.,38,80-89,8,LT50,30,GE80,,,01JUL17
MISSISSIPPI,28,2800630,BILOXI PUBLIC SCHOOL DIST,280063000053,BILOXI HIGH SCHOOL,354,83,.,.,20,GE80,134,80-84,21,60-79,4,PS,175,85-89,21,40-59,208,75-79,12,GE50,01JUL17
MISSISSIPPI,28,2800630,BILOXI PUBLIC SCHOOL DIST,280063001107,BILOXI JUNIOR HIGH,2,PS,.,.,.,.,,,1,PS,.,.,1,PS,2,PS,,,.,.,01JUL17
MISSISSIPPI,28,2800750,CLEVELAND SCHOOL DIST,280075000076,CLEVELAND HIGH SCHOOL,167,80-84,.,.,6,GE50,74,75-79,8,GE50,.,.,79,80-84,17,40-59,81,70-74,1,PS,01JUL17
MISSISSIPPI,28,2800750,CLEVELAND SCHOOL DIST,280075000079,EAST SIDE HIGH SCHOOL,104,80-84,.,.,.,.,104,80-84,.,.,.,.,.,.,5,PS,99,80-84,.,.,01JUL17
MISSISSIPPI,28,2800750,CLEVELAND SCHOOL DIST,280075000080,D. M. SMITH MIDDLE,4,PS,.,.,.,.,4,PS,.,.,.,.,.,.,,,2,PS,.,.,01JUL17
MISSISSIPPI,28,2800820,BOONEVILLE SCHOOL DIST,280082001024,BOONEVILLE HIGH SCHOOL,90,85-89,.,.,2,PS,17,GE80,1,PS,2,PS,67,85-89,9,GE50,23,60-79,.,.,01JUL17
MISSISSIPPI,28,2800840,BROOKHAVEN SCHOOL DIST,280084000090,ALEXANDER JUNIOR HIGH SCHOOL,1,PS,.,.,.,.,1,PS,.,.,.,.,.,.,,,,,.,.,01JUL17
MISSISSIPPI,28,2800840,BROOKHAVEN SCHOOL DIST,280084000092,BROOKHAVEN HIGH SCHOOL,208,70-74,.,.,1,PS,120,65-69,1,PS,1,PS,85,75-79,30,40-59,124,65-69,.,.,01JUL17
MISSISSIPPI,28,2800870,CALHOUN CO SCHOOL DIST,280087000097,BRUCE HIGH SCHOOL,69,90-94,.,.,.,.,24,GE80,4,PS,.,.,40,GE90,3,PS,45,GE90,.,.,01JUL17
MISSISSIPPI,28,2800870,CALHOUN CO SCHOOL DIST,280087000098,CALHOUN CITY HIGH SCHOOL,60,80-89,.,.,.,.,36,80-89,1,PS,.,.,23,GE80,9,LT50,52,80-89,.,.,01JUL17
MISSISSIPPI,28,2800870,CALHOUN CO SCHOOL DIST,280087000099,VARDAMAN HIGH SCHOOL,49,80-89,.,.,.,.,12,GE50,10,GE50,.,.,27,GE80,3,PS,36,GE90,4,PS,01JUL17
MISSISSIPPI,28,2800900,CANTON PUBLIC SCHOOL DIST,280090000101,CANTON PUBLIC HIGH SCHOOL,206,74,.,.,.,.,202,75-79,3,PS,,,.,.,17,21-39,201,75-79,3,PS,01JUL17
MISSISSIPPI,28,2800900,CANTON PUBLIC SCHOOL DIST,280090000103,NICHOLS MIDDLE SCHOOL,1,PS,.,.,.,.,1,PS,.,.,.,.,.,.,,,1,PS,.,.,01JUL17
MISSISSIPPI,28,2800930,CARROLL COUNTY SCHOOL DIST,280093000104,J Z GEORGE HIGH SCHOOL,66,75-79,.,.,.,.,41,80-89,3,PS,1,PS,21,60-79,4,PS,51,70-79,.,.,01JUL17
MISSISSIPPI,28,2800960,CHICKASAW CO SCHOOL DIST,280096000108,HOULKA ATTENDANCE CENTER,30,60-79,.,.,.,.,12,GE50,.,.,.,.,18,60-79,5,PS,29,60-79,.,.,01JUL17
MISSISSIPPI,28,2800990,CHOCTAW CO SCHOOL DIST,280099000111,CHOCTAW COUNTY HIGH SCHOOL,86,80-84,.,.,.,.,23,GE80,.,.,1,PS,61,80-84,13,LT50,52,70-79,.,.,01JUL17
MISSISSIPPI,28,2800990,CHOCTAW CO SCHOOL DIST,280099000114,WEIR ELEMENTARY SCHOOL,8,GE50,.,.,.,.,4,PS,.,.,.,.,4,PS,1,PS,5,PS,.,.,01JUL17
MISSISSIPPI,28,2801020,CLAIBORNE CO SCHOOL DIST,280102000116,PORT GIBSON HIGH SCHOOL,116,80-84,.,.,.,.,115,80-84,.,.,.,.,1,PS,9,LT50,115,80-84,.,.,01JUL17
MISSISSIPPI,28,2801050,CLARKSDALE MUNICIPAL SCHOOL DIST,280105000118,CLARKSDALE HIGH SCHOOL,199,85-89,.,.,1,PS,194,85-89,.,.,.,.,4,PS,9,LT50,193,85-89,.,.,01JUL17
MISSISSIPPI,28,2801050,CLARKSDALE MUNICIPAL SCHOOL DIST,280105000126,JEROME W. STAMPLEY 9TH GRADE ACADEM,6,LT50,.,.,.,.,6,LT50,.,.,.,.,.,.,.,.,4,PS,.,.,01JUL17
MISSISSIPPI,28,2801090,CLINTON PUBLIC SCHOOL DIST,280109000131,CLINTON HIGH SCHOOL,255,90,1,PS,13,GE50,146,85-89,7,GE50,,,87,GE95,14,LT50,97,80-84,3,PS,01JUL17
MISSISSIPPI,28,2801090,CLINTON PUBLIC SCHOOL DIST,280109000132,CLINTON JR HI SCHOOL,5,PS,.,.,.,.,4,PS,.,.,.,.,1,PS,5,PS,3,PS,.,.,01JUL17
MISSISSIPPI,28,2801090,CLINTON PUBLIC SCHOOL DIST,280109000135,EASTSIDE ELEM,1,PS,.,.,.,.,1,PS,.,.,.,.,.,.,1,PS,,,.,.,01JUL17
MISSISSIPPI,28,2801090,CLINTON PUBLIC SCHOOL DIST,280109001029,SUMNER HILL JR HI SCHOOL,90,75-79,,,3,PS,56,70-79,2,PS,,,28,GE80,6,LT50,40,60-69,1,PS,01JUL17
MISSISSIPPI,28,2801100,COAHOMA CO AHS,280110000137,COAHOMA AGRICULTURAL HIGH SCHOOL,56,70-79,.,.,.,.,56,70-79,.,.,.,.,.,.,6,LT50,54,80-89,.,.,01JUL17
MISSISSIPPI,28,2801110,COAHOMA COUNTY SCHOOL DISTRICT,280111000139,COAHOMA COUNTY JR/SR HIGH SCHOOL,62,75-79,.,.,.,.,55,80-89,1,PS,.,.,5,PS,12,LT50,58,70-79,.,.,01JUL17
MISSISSIPPI,28,2801140,COFFEEVILLE SCHOOL DIST,280114000146,COFFEEVILLE HIGH SCHOOL,54,80-89,.,.,.,.,51,80-89,.,.,.,.,3,PS,3,PS,53,80-89,.,.,01JUL17
MISSISSIPPI,28,2801170,COLUMBIA SCHOOL DISTRICT,280117000149,COLUMBIA HIGH SCHOOL,113,85-89,.,.,2,PS,50,80-89,4,PS,.,.,57,GE90,14,LT50,66,80-84,.,.,01JUL17
MISSISSIPPI,28,2801189,MS SCH FOR THE BLIND,280118901194,MS SCHOOL FOR THE BLIND HS,3,PS,.,.,.,.,2,PS,.,.,.,.,1,PS,3,PS,3,PS,.,.,01JUL17
MISSISSIPPI,28,2801190,MS SCHOOL FOR THE DEAF,280119001195,MS SCHOOL FOR THE DEAF SECONDARY,14,LT50,.,.,.,.,13,LT50,.,.,.,.,1,PS,14,LT50,14,LT50,.,.,01JUL17
MISSISSIPPI,28,2801191,MDHS DIVISION OF YOUTH SERVICES,280119101197,WILLIAMS SCHOOL,18,LE20,.,.,,,14,LT50,,,.,.,4,PS,5,PS,13,LT50,.,.,01JUL17
MISSISSIPPI,28,2801194,MS SCH FOR MATH AND SC,280119401201,MS SCHOOL FOR MATH AND SCIENCE,71,GE95,1,PS,14,GE50,17,GE80,2,PS,1,PS,36,GE90,.,.,70,GE95,.,.,01JUL17
MISSISSIPPI,28,2801196,HUDSPETH CENTER ADMINISTRATION,280119601210,C B NOBLIN SCHOOL,1,PS,.,.,.,.,.,.,.,.,.,.,1,PS,1,PS,1,PS,.,.,01JUL17
MISSISSIPPI,28,2801200,COLUMBUS MUNICIPAL SCHOOL DIST,280120000154,COLUMBUS HIGH SCHOOL,293,80-84,.,.,2,PS,268,80-84,5,PS,1,PS,17,60-79,32,20-29,282,80-84,4,PS,01JUL17
MISSISSIPPI,28,2801200,COLUMBUS MUNICIPAL SCHOOL DIST,280120001380,COLUMBUS MIDDLE SCHOOL,1,PS,.,.,.,.,1,PS,.,.,.,.,.,.,1,PS,1,PS,.,.,01JUL17
MISSISSIPPI,28,2801220,COPIAH CO SCHOOL DIST,280122000168,CRYSTAL SPRINGS HIGH SCHOOL,85,80-84,.,.,.,.,74,90-94,1,PS,.,.,10,GE50,5,PS,82,85-89,1,PS,01JUL17
MISSISSIPPI,28,2801220,COPIAH CO SCHOOL DIST,280122000169,WESSON ATTENDANCE CENTER,67,90-94,.,.,.,.,16,GE80,1,PS,.,.,50,GE90,3,PS,63,90-94,1,PS,01JUL17
MISSISSIPPI,28,2801260,CORINTH SCHOOL DIST,280126000171,CORINTH HIGH SCHOOL,144,90-94,.,.,3,PS,53,80-89,7,GE50,1,PS,80,90-94,13,GE50,65,80-84,.,.,01JUL17
MISSISSIPPI,28,2801290,COVINGTON CO SCHOOLS,280129000177,COLLINS HIGH SCHOOL,79,70-74,.,.,1,PS,62,65-69,.,.,1,PS,14,GE50,13,LT50,63,70-74,.,.,01JUL17
MISSISSIPPI,28,2801290,COVINGTON CO SCHOOLS,280129000181,MOUNT OLIVE ATTENDANCE CENTER,35,GE90,.,.,1,PS,18,GE80,.,.,.,.,16,GE80,3,PS,29,GE80,.,.,01JUL17
MISSISSIPPI,28,2801290,COVINGTON CO SCHOOLS,280129000182,SEMINARY HIGH SCHOOL,111,75-79,.,.,.,.,43,70-79,.,.,1,PS,67,80-84,13,LT50,64,70-74,.,.,01JUL17
MISSISSIPPI,28,2801290,COVINGTON CO SCHOOLS,280129001337,SEMINARY MIDDLE SCHOOL,1,PS,.,.,.,.,1,PS,.,.,.,.,.,.,1,PS,1,PS,.,.,01JUL17
MISSISSIPPI,28,2801320,DESOTO CO SCHOOL DIST,280132000140,HERNANDO MIDDLE SCHOOL,2,PS,.,.,.,.,,,.,.,.,.,2,PS,1,PS,1,PS,.,.,01JUL17
MISSISSIPPI,28,2801320,DESOTO CO SCHOOL DIST,280132000187,HERNANDO HIGH SCHOOL,293,91,1,PS,2,PS,47,70-79,15,GE50,1,PS,227,90-94,29,40-59,66,80-84,6,GE50,01JUL17
MISSISSIPPI,28,2801320,DESOTO CO SCHOOL DIST,280132000190,HORN LAKE HIGH,339,87,.,.,3,PS,219,85-89,16,GE80,5,PS,96,85-89,37,40-49,234,85-89,3,PS,01JUL17
MISSISSIPPI,28,2801320,DESOTO CO SCHOOL DIST,280132000191,HORN LAKE MIDDLE SCHOOL,2,PS,.,.,.,.,,,.,.,.,.,2,PS,2,PS,2,PS,.,.,01JUL17
MISSISSIPPI,28,2801320,DESOTO CO SCHOOL DIST,280132000193,OLIVE BRANCH HIGH SCHOOL,296,92,.,.,6,GE50,106,90-94,19,GE80,5,PS,160,90-94,21,40-59,114,85-89,1,PS,01JUL17
MISSISSIPPI,28,2801320,DESOTO CO SCHOOL DIST,280132000196,SOUTHAVEN HIGH SCHOOL,466,85,.,.,8,GE50,212,85-89,39,80-89,7,GE50,200,85-89,35,50-59,249,80-84,11,GE50,01JUL17
MISSISSIPPI,28,2801320,DESOTO CO SCHOOL DIST,280132000933,SOUTHAVEN MIDDLE SCHOOL,2,PS,.,.,.,.,1,PS,.,.,.,.,1,PS,1,PS,1,PS,.,.,01JUL17
MISSISSIPPI,28,2801320,DESOTO CO SCHOOL DIST,280132000979,DESOTO CENTRAL MIDDLE SCHOOL,1,PS,.,.,,,,,,,.,.,,,1,PS,,,.,.,01JUL17
MISSISSIPPI,28,2801320,DESOTO CO SCHOOL DIST,280132001282,LAKE CORMORANT MIDDLE,3,PS,.,.,.,.,1,PS,.,.,.,.,2,PS,1,PS,1,PS,.,.,01JUL17
MISSISSIPPI,28,2801320,DESOTO CO SCHOOL DIST,280132001288,LEWISBURG HIGH SCHOOL,199,90-94,.,.,.,.,20,GE80,5,PS,.,.,174,90-94,24,60-79,51,80-89,1,PS,01JUL17
MISSISSIPPI,28,2801320,DESOTO CO SCHOOL DIST,280132001289,CENTER HILL HIGH SCHOOL,211,91,.,.,2,PS,78,85-89,10,GE50,2,PS,119,90-94,13,GE50,78,90-94,3,PS,01JUL17
MISSISSIPPI,28,2801320,DESOTO CO SCHOOL DIST,280132001343,LEWISBURG MIDDLE,2,PS,.,.,.,.,1,PS,.,.,.,.,1,PS,2,PS,1,PS,.,.,01JUL17
MISSISSIPPI,28,2801320,DESOTO CO SCHOOL DIST,280132001357,LAKE CORMORANT HIGH,215,84,.,.,1,PS,88,85-89,14,GE50,3,PS,108,80-84,25,40-59,143,80-84,4,PS,01JUL17
MISSISSIPPI,28,2801320,DESOTO CO SCHOOL DIST,280132001569,DESOTO CENTRAL HIGH SCHOOL,414,95,1,PS,13,GE50,124,GE95,13,GE50,3,PS,260,GE95,38,70-79,90,85-89,4,PS,01JUL17
MISSISSIPPI,28,2801360,DURANT PUBLIC SCHOOL DIST,280136000544,DURANT PUBLIC SCHOOL,29,60-79,.,.,.,.,29,60-79,.,.,.,.,,,1,PS,28,60-79,.,.,01JUL17
MISSISSIPPI,28,2801380,EAST JASPER CONSOLIDATED SCH DIST,280138000204,HEIDELBERG HIGH SCHOOL,71,80-84,.,.,.,.,70,80-84,.,.,.,.,1,PS,11,LT50,71,80-84,.,.,01JUL17
MISSISSIPPI,28,2801410,EAST TALLAHATCHIE CONSOL SCH DIST,280141000207,CHARLESTON HIGH SCHOOL,85,85-89,.,.,.,.,60,80-89,.,.,.,.,24,GE80,4,PS,59,80-89,.,.,01JUL17
MISSISSIPPI,28,2801440,ENTERPRISE SCHOOL DIST,280144000211,ENTERPRISE HIGH SCHOOL,56,GE90,.,.,.,.,6,GE50,.,.,.,.,50,GE90,2,PS,21,GE80,.,.,01JUL17
MISSISSIPPI,28,2801470,FOREST MUNICIPAL SCHOOL DIST,280147000213,FOREST HIGH SCHOOL,98,70-74,.,.,,,64,75-79,18,40-59,2,PS,14,GE50,3,PS,90,75-79,9,LT50,01JUL17
MISSISSIPPI,28,2801490,FORREST COUNTY SCHOOL DISTRICT,280149000218,NORTH FORREST HIGH SCHOOL,62,80-84,.,.,.,.,36,80-89,2,PS,2,PS,21,GE80,9,GE50,45,70-79,1,PS,01JUL17
MISSISSIPPI,28,2801510,FORREST COUNTY AG HIGH SCHOOL,280151000222,FORREST COUNTY AGRICULTURAL HI SCH,153,75-79,.,.,1,PS,42,80-89,.,.,3,PS,107,75-79,22,21-39,102,70-74,.,.,01JUL17
MISSISSIPPI,28,2801530,FRANKLIN CO SCHOOL DIST,280153000224,FRANKLIN HIGH SCHOOL,105,85-89,.,.,1,PS,51,80-89,.,.,.,.,53,80-89,11,LT50,60,80-89,.,.,01JUL17
MISSISSIPPI,28,2801560,GEORGE CO SCHOOL DIST,280156000228,GEORGE COUNTY HIGH SCHOOL,275,80-84,.,.,.,.,33,70-79,7,GE50,5,PS,230,85-89,22,21-39,163,75-79,3,PS,01JUL17
MISSISSIPPI,28,2801560,GEORGE CO SCHOOL DIST,280156000840,GEORGE COUNTY MIDDLE SCHOOL,2,PS,.,.,.,.,1,PS,.,.,.,.,1,PS,1,PS,1,PS,.,.,01JUL17
MISSISSIPPI,28,2801590,GREENE COUNTY SCHOOL DISTRICT,280159000232,GREENE COUNTY HIGH SCHOOL,148,85-89,.,.,.,.,27,GE80,.,.,.,.,121,85-89,8,LT50,88,85-89,.,.,01JUL17
MISSISSIPPI,28,2801620,GREENVILLE PUBLIC SCHOOLS,280162000240,COLEMAN MIDDLE SCHOOL,6,LT50,.,.,.,.,6,LT50,.,.,.,.,.,.,4,PS,5,PS,.,.,01JUL17
MISSISSIPPI,28,2801620,GREENVILLE PUBLIC SCHOOLS,280162000244,GREENVILLE HIGH SCHOOL,364,64,.,.,.,.,356,64,.,.,2,PS,6,LT50,31,LE10,352,66,.,.,01JUL17
MISSISSIPPI,28,2801620,GREENVILLE PUBLIC SCHOOLS,280162000248,SOLOMON MAGNET SCHOOL,6,LT50,.,.,.,.,6,LT50,.,.,.,.,.,.,5,PS,5,PS,.,.,01JUL17
MISSISSIPPI,28,2801650,GREENWOOD PUBLIC SCHOOL DISTRICT,280165000256,GREENWOOD HIGH SCHOOL,172,70-74,.,.,1,PS,167,70-74,2,PS,.,.,2,PS,12,LT50,168,70-74,.,.,01JUL17
MISSISSIPPI,28,2801650,GREENWOOD PUBLIC SCHOOL DISTRICT,280165001005,GREENWOOD MIDDLE SCHOOL,1,PS,.,.,.,.,1,PS,.,.,.,.,,,1,PS,1,PS,.,.,01JUL17
MISSISSIPPI,28,2801680,GRENADA SCHOOL DIST,280168000262,GRENADA HIGH,310,81,.,.,.,.,160,70-74,1,PS,1,PS,148,85-89,24,LE20,172,70-74,.,.,01JUL17
MISSISSIPPI,28,2801680,GRENADA SCHOOL DIST,280168000264,GRENADA MIDDLE SCHOOL,6,LT50,.,.,.,.,4,PS,.,.,,,2,PS,1,PS,4,PS,.,.,01JUL17
MISSISSIPPI,28,2801710,GULFPORT SCHOOL DIST,280171000272,GULFPORT CENTRAL MIDDLE SCHOOL,1,PS,.,.,.,.,1,PS,.,.,.,.,.,.,1,PS,1,PS,.,.,01JUL17
MISSISSIPPI,28,2801710,GULFPORT SCHOOL DIST,280171000276,GULFPORT HIGH SCHOOL,357,89,.,.,3,PS,187,85-89,16,GE80,7,GE50,144,90-94,23,21-39,215,85-89,3,PS,01JUL17
MISSISSIPPI,28,2801740,HANCOCK CO SCHOOL DIST,280174001153,HANCOCK HIGH SCHOOL,309,80,.,.,1,PS,16,60-79,6,GE50,7,GE50,279,80-84,42,20-29,165,70-74,.,.,01JUL17
MISSISSIPPI,28,2801740,HANCOCK CO SCHOOL DIST,280174001232,HANCOCK MIDDLE SCHOOL,2,PS,.,.,.,.,1,PS,.,.,.,.,1,PS,2,PS,1,PS,.,.,01JUL17
MISSISSIPPI,28,2801770,HARRISON CO SCHOOL DIST,280177000285,DIBERVILLE SENIOR HIGH SCH,311,85,1,PS,20,GE80,57,80-89,10,GE50,5,PS,218,80-84,25,21-39,156,75-79,1,PS,01JUL17
MISSISSIPPI,28,2801770,HARRISON CO SCHOOL DIST,280177000288,HARRISON CENTRAL HIGH SCHOOL,358,86,1,PS,2,PS,144,75-79,9,GE50,7,GE50,194,90-94,34,30-39,223,85-89,3,PS,01JUL17
MISSISSIPPI,28,2801770,HARRISON CO SCHOOL DIST,280177000958,NORTH WOOLMARKET ELEMENTARY AND MID,1,PS,.,.,.,.,.,.,.,.,.,.,1,PS,.,.,1,PS,.,.,01JUL17
MISSISSIPPI,28,2801770,HARRISON CO SCHOOL DIST,280177000959,WEST WORTHAM ELEMENTARY AND MIDDLE,1,PS,.,.,.,.,.,.,.,.,.,.,1,PS,,,,,.,.,01JUL17
MISSISSIPPI,28,2801770,HARRISON CO SCHOOL DIST,280177001321,NORTH GULFPORT 8TH GRADE,1,PS,.,.,.,.,.,.,.,.,.,.,1,PS,.,.,1,PS,.,.,01JUL17
MISSISSIPPI,28,2801770,HARRISON CO SCHOOL DIST,280177001347,WEST HARRISON HIGH SCHOOL,223,87,1,PS,4,PS,84,85-89,3,PS,1,PS,130,85-89,14,LT50,135,80-84,1,PS,01JUL17
MISSISSIPPI,28,2801800,HATTIESBURG PUBLIC SCHOOL DIST,280180000310,HATTIESBURG HIGH SCHOOL,289,70-74,.,.,.,.,269,70-74,7,GE50,1,PS,12,GE50,38,30-39,277,75-79,2,PS,01JUL17
MISSISSIPPI,28,2801800,HATTIESBURG PUBLIC SCHOOL DIST,280180000980,N R BURGER MIDDLE SCHOOL,3,PS,.,.,.,.,3,PS,.,.,.,.,,,3,PS,3,PS,.,.,01JUL17
MISSISSIPPI,28,2801830,HAZLEHURST CITY SCHOOL DISTRICT,280183000315,HAZLEHURST HIGH SCHOOL,94,70-74,.,.,.,.,88,75-79,6,LT50,.,.,,,13,LT50,91,75-79,3,PS,01JUL17
MISSISSIPPI,28,2801860,HINDS CO SCHOOL DIST,280186000321,BYRAM MIDDLE SCHOOL,1,PS,.,.,.,.,1,PS,.,.,.,.,.,.,1,PS,,,.,.,01JUL17
MISSISSIPPI,28,2801860,HINDS CO SCHOOL DIST,280186000328,RAYMOND HIGH SCHOOL,171,75-79,.,.,1,PS,149,80-84,2,PS,.,.,18,40-59,37,40-49,152,75-79,1,PS,01JUL17
MISSISSIPPI,28,2801860,HINDS CO SCHOOL DIST,280186000902,TERRY HIGH SCHOOL,338,87,.,.,1,PS,257,90-94,4,PS,3,PS,73,75-79,19,21-39,185,85-89,1,PS,01JUL17
MISSISSIPPI,28,2801890,HOLLANDALE SCHOOL DIST,280189001037,SIMMONS HIGH SCHOOL,45,GE90,.,.,.,.,45,GE90,.,.,.,.,.,.,6,GE50,44,GE90,.,.,01JUL17
MISSISSIPPI,28,2801950,HOLLY SPRINGS SCHOOL DIST,280195000335,HOLLY SPRINGS HIGH SCHOOL,105,GE95,.,.,.,.,102,GE95,1,PS,.,.,2,PS,10,GE50,97,GE95,1,PS,01JUL17
MISSISSIPPI,28,2801980,HOLMES CO SCHOOL DIST,280198001400,HOLMES COUNTY CENTRAL HIGH SCHOOL,86,85-89,.,.,.,.,86,85-89,.,.,.,.,.,.,8,GE50,86,85-89,.,.,01JUL17
