SURVYEAR,FIPST,STABR,STATENAME,SEANAME,MSTREET1,MSTREET2,MSTREET3,MCITY,MSTATE,MZIP,MZIP4,PHONE,WEBSITE
2015-2016,28,MS,MISSISSIPPI,MISSISSIPPI DEPARTMENT OF EDUCATION,P. O. BOX 771,,,JACKSON,MS,39205,,6013593513,HTTP://WWW.MDE.K12.MS.US/
2015-2016,29,MO,MISSOURI,MISSOURI DEPT OF ELEMENTARY AND SECONDARY EDUCATION,PO BOX 480,,,JEFFERSON CITY,MO,65102,0480,5737513503,http://dese.mo.gov
2015-2016,30,MT,MONTANA,Montana Office of Public Instruction,1227 11th Avenue,P O Box 202501,,Helena,MT,59620,2501,4064443095,www.opi.mt.gov
2015-2016,31,NE,NEBRASKA,Nebraska Department of Education,301 Centennial Mall South,PO Box 94987,,Lincoln,NE,68509,4987,4024712295,www.education.ne.gov
2015-2016,32,NV,NEVADA,Nevada Department of Education,700 East Fifth Street,,,Carson City,NV,89701,,7756879100,http://www.doe.nv.gov
2015-2016,33,NH,NEW HAMPSHIRE,NH Dept of Education,State Office Park South,,,Concord,NH,03301,3860,6032713876,www.education.nh.gov
2015-2016,34,NJ,NEW JERSEY,NEW JERSEY DEPARTMENT OF EDUCATION,JUDGE ROBERT L CARTER BLDG,100 RIVERVIEW PLAZA,PO Box 500,Trenton,NJ,08625,0500,8779006960,www.state.nj.us/education/
2015-2016,35,NM,NEW MEXICO,New Mexico Public Education Department,300 DON GASPAR,,,SANTA FE,NM,87501,2786,5058276526,www.ped.state.nm.us
2015-2016,36,NY,NEW YORK,NEW YORK STATE EDUCATION DEPARTMENT,89 WASHINGTON AVE,,,ALBANY,NY,12234,,5184746569,www.nysed.gov
2015-2016,37,NC,NORTH CAROLINA,North Carolina Department of Public Instruction,Education Building,301 North Wilmington Street,,Raleigh,NC,27601,2825,9198073430,www.ncpublicschools.org
2015-2016,38,ND,NORTH DAKOTA,North Dakota Department of Public Instruction,600 E BOULEVARD AVENUE,11th FLOOR,DEPARTMENT 201,BISMARCK,ND,58505,0440,7013282260,www.nd.gov/dpi
2015-2016,39,OH,OHIO,Ohio Department of Education,25 S Front St,,,Columbus,OH,43215,4176,8776446338,http://www.education.ohio.gov
2015-2016,40,OK,OKLAHOMA,OKLAHOMA STATE DEPARTMENT OF EDUCATION,2500 NORTH LINCOLN BLVD,,,OKLAHOMA CITY,OK,73105,4599,4055213301,www.sde.ok.gov
2015-2016,41,OR,OREGON,Oregon Department of Education,255 Capitol St NE,,,Salem,OR,97310,0203,5039475600,www.ode.state.or.us
2015-2016,42,PA,PENNSYLVANIA,Pennsylvania Department of Education,333 Market St,,,Harrisburg,PA,17126,,7177836788,www.pde.state.pa.us
2015-2016,44,RI,RHODE ISLAND,RHODE ISLAND DEPARTMENT OF EDUCATION,255 WESTMINSTER STREET,THE SHEPARD BUILDING,,PROVIDENCE,RI,02903,,4012228706,WWW.RIDE.RI.GOV
2015-2016,45,SC,SOUTH CAROLINA,South Carolina Department of Education,1429 SENATE STREET,,,COLUMBIA,SC,29201,3730,8037348500,www.ed.sc.gov
2015-2016,46,SD,SOUTH DAKOTA,South Dakota Department of Education,800 Governors Drive,,,Pierre,SD,57501,2294,6057733134,http://doe.sd.gov
2015-2016,47,TN,TENNESSEE,Tennessee Department of Education,9th Floor,Andrew Johnson Tower,710 James Robertson Pkwy,Nashville,TN,37243,0375,6157415158,http://www.tn.gov
2015-2016,48,TX,TEXAS,TEXAS EDUCATION AGENCY,1701 NORTH CONGRESS AVENUE,,,AUSTIN,TX,78701,,5124639734,TEA.TEXAS.GOV
2015-2016,49,UT,UTAH,Utah State Office of Education,PO Box 144200,,,Salt Lake City,UT,84114,4200,8015387500,http://www.schools.utah.gov
2015-2016,50,VT,VERMONT,Vermont Agency of Education,219 N. Main St. Suite 402,,,Barre,VT,05641,,8024791030,http://education.vermont.gov/
2015-2016,51,VA,VIRGINIA,Virginia Department of Education,PO Box 2120,,,Richmond,VA,23218,2120,8042252023,http://www.doe.virginia.gov
2015-2016,53,WA,WASHINGTON,Office of Superintendent of Public Instruction,P.O. Box 47200,,,Olympia,WA,98504,7200,3607256000,http://www.k12.wa.us/
2015-2016,54,WV,WEST VIRGINIA,West Virginia Department of Education,1900 Kanawha Boulevard East,,,Charleston,WV,25305,,3045582681,http://wvde.state.wv.us
2015-2016,55,WI,WISCONSIN,Wisconsin Dept of Public Instruction,PO Box 7841,,,Madison,WI,53707,7841,8004414563,dpi.wi.gov
2015-2016,56,WY,WYOMING,Wyoming Department of Education,2300 Capitol Avenue,,,Cheyenne,WY,82002,,3077777673,http://edu.wyoming.gov/
2015-2016,59,BI,BUREAU OF INDIAN EDUCATION,Bureau of Indian Education,,,,,,,,2022086123,www.bie.edu
2015-2016,60,AS,AMERICAN SAMOA,AMERICAN SAMOA,,,,,AS,,,,http://www.asdoe.net/
2015-2016,63,DD,DEPARTMENT OF DEFENSE EDUCATION ACTIVITY,Department of Defense Education Activity,4800 Mark Center Dr.,,,Alexandria,VA,22350,1400,5713720590,http://www.dodea.edu/
2015-2016,66,GU,GUAM,Guam Department of Education,500 Mariner Avenue,,,Barrigada,GU,96913,,6713001547,www.gdoe.net
2015-2016,72,PR,PUERTO RICO,PUERTO RICO DEPARTMENT OF EDUCATION,PO BOX 190759,,,SAN JUAN,PR,00919,0759,7877592000,http://www.de.gobierno.pr
2015-2016,78,VI,U.S. VIRGIN ISLANDS,U.S. Virgin Islands Department of Education,1834 Kongens Gade,,,Saint Thomas,VI,00802,,3407740100,www.doe.vi
